CompensationRequestErrorId,CompensationRequestId,ErrorId,Description,CreatedAt
662,662,3,SocialNetworkId inválido,2025-10-24
663,663,2,SocialNetworkId inválido,2024-01-05
664,664,2,CSV export format not supported,2025-01-15
665,665,1,Email inválido,2025-06-13
666,666,3,CSV export format not supported,2025-07-14
667,667,1,SMTP timeout,2026-06-22
668,668,2,SMTP timeout,2024-01-02
669,669,2,Email inválido,2024-09-15
670,670,3,Localidad inexistente,2025-03-07
671,671,3,SMTP timeout,2024-02-06
672,672,1,Email inválido,2025-01-02
673,673,1,Localidad inexistente,2026-02-16
674,674,3,Email inválido,2024-01-03
675,675,2,SocialNetworkId inválido,2025-08-21
676,676,3,CSV export format not supported,2024-04-01
677,677,2,Localidad inexistente,2025-08-19
678,678,1,Email inválido,2025-09-26
679,679,2,Validation failed,2024-02-27
680,680,1,Token expirado,2025-12-18
681,681,2,CSV export format not supported,2026-02-20
682,682,1,Validation failed,2024-11-09
683,683,3,SMTP timeout,2025-04-09
684,684,2,Token expirado,2024-09-18
685,685,2,CSV export format not supported,2024-06-03
686,686,2,Validation failed,2025-10-16
687,687,3,CSV export format not supported,2024-09-02
688,688,1,Localidad inexistente,2025-06-28
689,689,2,DbUpdateException,2025-11-15
690,690,2,Token expirado,2024-12-04
691,691,3,Validation failed,2025-07-31
692,692,1,Token expirado,2024-10-14
693,693,3,SocialNetworkId inválido,2024-12-06
694,694,3,Validation failed,2024-05-26
695,695,3,SMTP timeout,2024-09-02
696,696,3,Localidad inexistente,2024-07-04
697,697,3,DbUpdateException,2026-03-22
698,698,2,CSV export format not supported,2026-04-09
699,699,3,Token expirado,2025-06-30
700,700,1,Token expirado,2026-01-17
701,701,3,DbUpdateException,2024-06-29
702,702,3,Validation failed,2025-05-24
703,703,2,Token expirado,2025-04-18
704,704,1,Token expirado,2024-04-24
705,705,2,Localidad inexistente,2025-01-11
706,706,1,Email inválido,2024-05-11
707,707,2,Email inválido,2024-11-04
708,708,1,Token expirado,2024-02-05
709,709,1,Email inválido,2024-01-28
710,710,1,SMTP timeout,2026-05-30
711,711,2,Localidad inexistente,2025-09-22
712,712,1,SocialNetworkId inválido,2024-12-28
713,713,2,Localidad inexistente,2024-04-03
714,714,1,Email inválido,2025-05-24
715,715,1,SMTP timeout,2024-05-07
716,716,3,CSV export format not supported,2026-02-19
717,717,1,SMTP timeout,2024-09-25
718,718,2,Token expirado,2024-04-18
719,719,3,SMTP timeout,2026-04-15
720,720,3,Email inválido,2026-04-20
721,721,3,Email inválido,2024-09-05
722,722,2,Email inválido,2025-02-10
723,723,3,SMTP timeout,2025-07-26
724,724,2,DbUpdateException,2026-03-04
725,725,2,CSV export format not supported,2025-01-09
726,726,3,Token expirado,2024-03-15
727,727,3,Validation failed,2025-08-02
728,728,3,CSV export format not supported,2026-01-08
729,729,3,Localidad inexistente,2024-07-08
730,730,3,SocialNetworkId inválido,2025-11-13
731,731,1,Validation failed,2024-11-10
732,732,2,SocialNetworkId inválido,2024-02-07
733,733,3,SMTP timeout,2024-03-22
734,734,3,Validation failed,2024-12-13
735,735,3,Token expirado,2024-04-28
736,736,1,SocialNetworkId inválido,2024-08-26
737,737,3,DbUpdateException,2026-04-06
738,738,2,DbUpdateException,2024-05-23
739,739,2,SocialNetworkId inválido,2024-10-31
740,740,2,Localidad inexistente,2025-12-08
741,741,2,Validation failed,2024-11-18
742,742,3,SMTP timeout,2025-03-27
743,743,3,Localidad inexistente,2024-11-24
744,744,2,Validation failed,2025-06-25
745,745,3,Validation failed,2024-11-17
746,746,3,Email inválido,2024-11-01
747,747,2,Validation failed,2024-03-15
748,748,3,DbUpdateException,2025-09-14
749,749,2,SMTP timeout,2026-06-21
750,750,1,Email inválido,2024-12-02
751,751,3,SMTP timeout,2024-09-12
752,752,1,DbUpdateException,2026-05-31
753,753,2,SMTP timeout,2025-12-27
754,754,2,Validation failed,2024-11-05
755,755,1,SocialNetworkId inválido,2024-02-25
756,756,3,Validation failed,2026-06-03
757,757,3,SocialNetworkId inválido,2025-11-24
758,758,2,Token expirado,2025-12-23
759,759,2,Email inválido,2024-08-16
760,760,3,Localidad inexistente,2025-02-21
761,761,2,Localidad inexistente,2024-10-26
762,762,3,Localidad inexistente,2026-01-29
763,763,3,SMTP timeout,2026-05-31
764,764,2,Localidad inexistente,2026-06-29
765,765,3,Localidad inexistente,2024-06-07
766,766,2,SMTP timeout,2025-02-04
767,767,1,Token expirado,2026-03-23
768,768,1,Email inválido,2024-07-28
769,769,3,CSV export format not supported,2026-01-21
770,770,3,Email inválido,2026-03-05
771,771,3,DbUpdateException,2024-02-27
772,772,3,Localidad inexistente,2024-08-09
773,773,3,SocialNetworkId inválido,2026-03-29
774,774,1,Localidad inexistente,2026-03-27
775,775,2,CSV export format not supported,2024-09-22
776,776,3,DbUpdateException,2025-09-29
777,777,1,SMTP timeout,2026-06-12
778,778,1,Validation failed,2024-06-08
779,779,3,Email inválido,2024-09-17
780,780,1,SocialNetworkId inválido,2025-08-10
781,781,2,Token expirado,2025-06-27
782,782,1,DbUpdateException,2024-03-16
783,783,3,Token expirado,2024-04-16
784,784,1,Validation failed,2024-04-14
785,785,1,SMTP timeout,2025-04-10
786,786,3,Email inválido,2025-11-26
787,787,2,DbUpdateException,2024-10-23
788,788,3,Token expirado,2024-10-04
789,789,2,CSV export format not supported,2025-09-18
790,790,1,Validation failed,2025-10-11
791,791,1,SMTP timeout,2025-04-30
792,792,3,Localidad inexistente,2025-07-09
793,793,1,Email inválido,2025-08-29
794,794,2,Validation failed,2026-02-14
795,795,2,Localidad inexistente,2026-04-26
796,796,1,SocialNetworkId inválido,2024-09-22
797,797,1,Email inválido,2025-07-05
798,798,3,Token expirado,2024-06-04
799,799,3,CSV export format not supported,2025-01-16
800,800,2,Validation failed,2025-08-19
801,801,1,SMTP timeout,2026-05-06
802,802,3,Validation failed,2025-06-21
803,803,2,Email inválido,2026-02-02
804,804,3,SMTP timeout,2025-09-17
805,805,1,DbUpdateException,2024-11-08
806,806,3,SocialNetworkId inválido,2025-05-12
807,807,2,SocialNetworkId inválido,2026-04-25
808,808,1,Validation failed,2025-07-16
809,809,2,SMTP timeout,2024-01-03
810,810,1,Localidad inexistente,2025-02-09
811,811,1,SMTP timeout,2024-08-28
812,812,3,CSV export format not supported,2025-04-06
813,813,1,Email inválido,2025-07-23
814,814,3,SMTP timeout,2024-03-26
815,815,3,SocialNetworkId inválido,2025-07-19
816,816,1,Token expirado,2024-08-19
817,817,3,Validation failed,2025-05-03
818,818,3,SMTP timeout,2024-02-14
819,819,1,SMTP timeout,2025-10-31
820,820,3,Validation failed,2025-04-16
821,821,3,Localidad inexistente,2025-12-10
822,822,2,SMTP timeout,2025-12-13
823,823,2,Token expirado,2024-11-27
824,824,1,DbUpdateException,2025-03-21
825,825,1,Validation failed,2024-10-01
826,826,2,DbUpdateException,2024-01-23
827,827,2,SocialNetworkId inválido,2025-09-24
828,828,2,Token expirado,2025-02-24
829,829,2,DbUpdateException,2024-10-26
830,830,2,Token expirado,2025-10-17
831,831,1,DbUpdateException,2024-05-22
832,832,2,Token expirado,2026-05-10
833,833,2,Token expirado,2026-06-17
834,834,2,Token expirado,2025-09-01
835,835,1,Email inválido,2026-03-18
836,836,2,Email inválido,2025-02-03
837,837,2,DbUpdateException,2025-07-25
838,838,3,SocialNetworkId inválido,2026-02-18
839,839,1,Validation failed,2026-04-02
840,840,2,SMTP timeout,2024-08-24
841,841,2,Token expirado,2024-12-17
842,842,1,Token expirado,2024-05-25
843,843,3,SocialNetworkId inválido,2026-02-25
844,844,2,DbUpdateException,2025-10-12
845,845,3,Email inválido,2025-07-08
846,846,2,Localidad inexistente,2026-04-23
847,847,1,Localidad inexistente,2024-12-07
848,848,1,CSV export format not supported,2025-11-05
849,849,2,Token expirado,2024-06-09
850,850,2,SMTP timeout,2024-07-04
851,851,3,SocialNetworkId inválido,2024-12-01
852,852,2,DbUpdateException,2024-11-11
853,853,1,DbUpdateException,2024-08-07
854,854,3,Email inválido,2024-11-03
855,855,2,Email inválido,2024-12-07
856,856,1,Email inválido,2024-03-26
857,857,2,SocialNetworkId inválido,2025-06-09
858,858,2,Token expirado,2024-01-10
859,859,2,Token expirado,2025-12-09
860,860,1,CSV export format not supported,2025-06-08
861,861,2,SMTP timeout,2024-03-30
862,862,1,Validation failed,2024-08-02
863,863,3,SocialNetworkId inválido,2025-08-24
864,864,2,Token expirado,2024-08-21
865,865,2,Validation failed,2025-06-18
866,866,3,Token expirado,2026-02-08
867,867,2,SMTP timeout,2026-03-04
868,868,1,CSV export format not supported,2025-08-29
869,869,2,SocialNetworkId inválido,2024-05-20
870,870,3,Validation failed,2024-12-02
871,871,3,Email inválido,2024-04-17
872,872,1,Email inválido,2025-03-20
873,873,3,SocialNetworkId inválido,2025-08-13
874,874,3,Email inválido,2024-11-19
875,875,3,CSV export format not supported,2026-04-28
876,876,3,SocialNetworkId inválido,2025-11-20
877,877,2,DbUpdateException,2024-09-11
878,878,2,Token expirado,2024-05-04
879,879,3,Email inválido,2024-10-17
880,880,2,Validation failed,2025-12-14
881,881,3,Email inválido,2025-12-07
882,882,2,SocialNetworkId inválido,2024-01-08
883,883,2,Validation failed,2024-09-09
884,884,3,SocialNetworkId inválido,2024-07-09
885,885,1,CSV export format not supported,2025-09-20
886,886,2,Validation failed,2026-05-25
887,887,2,DbUpdateException,2024-06-30
888,888,3,Email inválido,2024-04-17
889,889,2,Localidad inexistente,2024-09-28
890,890,1,CSV export format not supported,2025-05-17
891,891,1,DbUpdateException,2026-05-27
892,892,3,Localidad inexistente,2024-11-20
893,893,3,SMTP timeout,2026-02-13
894,894,2,Token expirado,2025-06-05
895,895,1,SocialNetworkId inválido,2026-02-05
896,896,3,SocialNetworkId inválido,2025-10-19
897,897,2,CSV export format not supported,2024-11-08
898,898,3,Email inválido,2025-10-29
899,899,1,Localidad inexistente,2024-01-15
900,900,2,DbUpdateException,2024-07-09
901,901,3,Localidad inexistente,2026-05-17
902,902,2,Localidad inexistente,2024-01-08
903,903,2,SocialNetworkId inválido,2025-08-01
904,904,1,CSV export format not supported,2025-10-11
905,905,2,Email inválido,2026-02-01
906,906,3,DbUpdateException,2025-05-22
907,907,3,Localidad inexistente,2024-04-12
908,908,2,CSV export format not supported,2025-03-17
909,909,1,Localidad inexistente,2025-12-12
910,910,1,Email inválido,2026-04-01
911,911,3,Localidad inexistente,2024-12-13
912,912,1,Email inválido,2026-03-28
913,913,1,Validation failed,2025-04-07
914,914,1,Localidad inexistente,2025-11-01
915,915,1,SocialNetworkId inválido,2024-04-24
916,916,1,Email inválido,2024-11-09
917,917,2,Token expirado,2024-05-27
918,918,3,DbUpdateException,2024-03-25
919,919,1,Email inválido,2026-05-12
920,920,2,CSV export format not supported,2024-08-18
921,921,2,Token expirado,2024-05-17
922,922,1,SMTP timeout,2024-04-18
923,923,3,CSV export format not supported,2025-09-13
924,924,3,DbUpdateException,2024-08-07
925,925,3,SocialNetworkId inválido,2026-02-06
926,926,1,DbUpdateException,2025-09-26
927,927,3,Token expirado,2025-09-14
928,928,3,SMTP timeout,2025-03-23
929,929,1,SMTP timeout,2024-10-07
930,930,1,Localidad inexistente,2026-01-30
931,931,2,Email inválido,2024-03-03
932,932,3,SocialNetworkId inválido,2024-09-02
933,933,3,Validation failed,2024-01-03
934,934,2,CSV export format not supported,2024-08-28
935,935,2,Validation failed,2026-03-25
936,936,2,Email inválido,2024-02-21
937,937,3,SocialNetworkId inválido,2026-01-10
938,938,3,Token expirado,2025-11-09
939,939,2,SocialNetworkId inválido,2024-01-19
940,940,2,DbUpdateException,2025-02-26
941,941,1,SMTP timeout,2025-03-28
942,942,2,SMTP timeout,2024-05-22
943,943,1,SMTP timeout,2026-02-24
944,944,2,SMTP timeout,2026-06-27
945,945,1,Token expirado,2024-07-16
946,946,3,Token expirado,2024-06-12
947,947,3,Token expirado,2025-10-05
948,948,1,Localidad inexistente,2026-06-06
949,949,2,SocialNetworkId inválido,2024-02-26
950,950,3,Email inválido,2024-03-29
951,951,1,Token expirado,2024-12-25
952,952,3,DbUpdateException,2026-02-08
953,953,1,Validation failed,2025-11-01
954,954,1,Token expirado,2026-04-25
955,955,3,DbUpdateException,2026-01-06
956,956,1,SMTP timeout,2025-07-25
957,957,2,Validation failed,2025-11-26
958,958,2,Validation failed,2025-03-04
959,959,3,DbUpdateException,2026-06-19
960,960,3,Localidad inexistente,2024-06-12
961,961,2,SMTP timeout,2025-08-02
962,962,2,SMTP timeout,2024-02-24
963,963,2,SMTP timeout,2025-10-14
964,964,2,SocialNetworkId inválido,2025-02-13
965,965,1,CSV export format not supported,2024-07-19
966,966,2,SMTP timeout,2024-08-18
967,967,1,Validation failed,2026-03-31
968,968,1,SMTP timeout,2026-05-17
969,969,2,Email inválido,2024-07-19
970,970,2,Email inválido,2025-09-17
971,971,1,SocialNetworkId inválido,2024-02-29
972,972,1,Email inválido,2024-04-01
973,973,3,Validation failed,2026-02-07
974,974,2,DbUpdateException,2026-02-17
975,975,2,Localidad inexistente,2025-10-13
976,976,1,Localidad inexistente,2024-08-16
977,977,1,Localidad inexistente,2026-02-01
978,978,2,CSV export format not supported,2024-04-18
979,979,1,CSV export format not supported,2025-05-07
980,980,3,SMTP timeout,2025-07-27
981,981,3,Localidad inexistente,2024-12-26
982,982,1,SMTP timeout,2026-03-28
983,983,3,CSV export format not supported,2025-01-28
984,984,3,Validation failed,2026-03-31
985,985,3,Token expirado,2026-02-05
986,986,3,SocialNetworkId inválido,2025-02-20
987,987,3,SMTP timeout,2024-07-21
988,988,3,Email inválido,2024-05-20
989,989,3,Token expirado,2025-03-11
990,990,3,DbUpdateException,2024-03-13
991,991,3,DbUpdateException,2026-06-07
992,992,1,CSV export format not supported,2024-11-29
993,993,2,SocialNetworkId inválido,2025-06-01
994,994,3,SocialNetworkId inválido,2026-02-01
995,995,3,SocialNetworkId inválido,2024-08-27
996,996,1,SMTP timeout,2026-05-24
997,997,2,DbUpdateException,2024-06-06
998,998,2,CSV export format not supported,2024-02-07
999,999,2,Email inválido,2025-01-05
1000,1000,3,SMTP timeout,2025-05-13
1001,1001,2,Validation failed,2026-05-16
1002,1002,2,SMTP timeout,2024-09-22
1003,1003,2,CSV export format not supported,2025-04-04
1004,1004,3,Email inválido,2024-03-10
1005,1005,1,CSV export format not supported,2024-05-21
1006,1006,2,SMTP timeout,2025-06-19
1007,1007,2,Localidad inexistente,2025-01-14
1008,1008,1,CSV export format not supported,2025-08-14
1009,1009,2,Localidad inexistente,2025-11-29
1010,1010,2,SocialNetworkId inválido,2025-12-28
1011,1011,1,SMTP timeout,2026-05-15
1012,1012,1,CSV export format not supported,2024-03-02
1013,1013,2,CSV export format not supported,2025-01-14
1014,1014,3,SocialNetworkId inválido,2024-10-28
1015,1015,2,Validation failed,2025-07-20
1016,1016,3,SocialNetworkId inválido,2024-01-31
1017,1017,1,SocialNetworkId inválido,2025-05-22
1018,1018,1,Token expirado,2024-03-23
1019,1019,2,DbUpdateException,2024-07-08
1020,1020,2,Validation failed,2025-03-27
1021,1021,1,Token expirado,2024-08-15
1022,1022,3,SocialNetworkId inválido,2025-09-22
1023,1023,3,SMTP timeout,2025-04-18
1024,1024,3,Validation failed,2025-01-31
1025,1025,3,SMTP timeout,2025-02-08
1026,1026,3,Localidad inexistente,2025-08-25
1027,1027,3,Validation failed,2026-04-15
1028,1028,3,Localidad inexistente,2024-01-11
1029,1029,3,Localidad inexistente,2026-04-25
1030,1030,1,Email inválido,2024-08-18
1031,1031,1,Token expirado,2024-09-07
1032,1032,3,Email inválido,2024-10-17
1033,1033,1,Email inválido,2026-03-13
1034,1034,1,Token expirado,2024-06-16
1035,1035,3,SocialNetworkId inválido,2024-05-09
1036,1036,2,Localidad inexistente,2024-12-07
1037,1037,2,DbUpdateException,2024-07-21
1038,1038,3,Email inválido,2024-07-05
1039,1039,2,SocialNetworkId inválido,2024-05-15
1040,1040,2,SMTP timeout,2025-03-09
1041,1041,1,Validation failed,2024-04-15
1042,1042,1,Token expirado,2024-01-05
1043,1043,2,Token expirado,2025-12-23
1044,1044,3,SocialNetworkId inválido,2024-10-04
1045,1045,1,SMTP timeout,2025-08-28
1046,1046,1,Token expirado,2024-04-05
1047,1047,2,Localidad inexistente,2024-01-08
1048,1048,1,Token expirado,2026-06-20
1049,1049,2,Validation failed,2024-12-14
1050,1050,2,SMTP timeout,2025-05-30
1051,1051,1,Validation failed,2025-02-18
1052,1052,3,Token expirado,2024-11-08
1053,1053,1,Localidad inexistente,2025-07-22
1054,1054,3,SMTP timeout,2026-01-16
1055,1055,3,Localidad inexistente,2025-02-25
1056,1056,2,Localidad inexistente,2024-03-30
1057,1057,1,Localidad inexistente,2024-05-17
1058,1058,2,Localidad inexistente,2024-03-09
1059,1059,1,Email inválido,2026-02-17
1060,1060,2,Email inválido,2024-06-13
1061,1061,2,Token expirado,2025-06-25
1062,1062,3,CSV export format not supported,2025-12-02
1063,1063,3,Localidad inexistente,2025-12-26
1064,1064,1,SMTP timeout,2024-07-23
1065,1065,1,DbUpdateException,2026-03-16
1066,1066,2,DbUpdateException,2024-07-23
1067,1067,3,CSV export format not supported,2025-04-20
1068,1068,3,Localidad inexistente,2024-08-01
1069,1069,2,Localidad inexistente,2026-05-28
1070,1070,1,DbUpdateException,2024-11-02
1071,1071,3,Email inválido,2026-03-01
1072,1072,2,DbUpdateException,2024-12-09
1073,1073,2,Validation failed,2026-06-14
1074,1074,1,DbUpdateException,2025-12-05
1075,1075,3,CSV export format not supported,2024-12-13
1076,1076,3,Localidad inexistente,2024-10-12
1077,1077,2,CSV export format not supported,2024-03-20
1078,1078,3,DbUpdateException,2025-04-11
1079,1079,3,Validation failed,2025-01-19
1080,1080,3,SocialNetworkId inválido,2025-11-26
1081,1081,3,Localidad inexistente,2025-01-16
1082,1082,3,Token expirado,2026-05-13
1083,1083,2,Email inválido,2026-05-11
1084,1084,1,CSV export format not supported,2024-12-11
1085,1085,3,Localidad inexistente,2024-01-28
1086,1086,2,DbUpdateException,2026-01-22
1087,1087,3,Token expirado,2025-06-08
1088,1088,2,DbUpdateException,2025-04-27
1089,1089,2,Localidad inexistente,2024-01-25
1090,1090,1,SocialNetworkId inválido,2024-04-30
1091,1091,3,Validation failed,2025-02-04
1092,1092,1,SMTP timeout,2026-04-09
1093,1093,3,Email inválido,2025-12-20
1094,1094,2,SMTP timeout,2025-03-09
1095,1095,2,SocialNetworkId inválido,2024-07-30
1096,1096,2,CSV export format not supported,2024-10-16
1097,1097,2,Localidad inexistente,2025-09-23
1098,1098,2,Email inválido,2024-08-25
1099,1099,2,Validation failed,2026-01-12
1100,1100,3,SocialNetworkId inválido,2024-04-26
1101,1101,2,CSV export format not supported,2025-10-31
1102,1102,2,Localidad inexistente,2024-06-08
1103,1103,3,CSV export format not supported,2025-10-17
1104,1104,2,DbUpdateException,2024-06-18
1105,1105,1,SMTP timeout,2026-05-21
1106,1106,1,Validation failed,2024-03-18
1107,1107,1,Localidad inexistente,2024-05-15
1108,1108,3,Email inválido,2024-02-28
1109,1109,3,DbUpdateException,2026-04-02
1110,1110,3,DbUpdateException,2024-07-01
1111,1111,2,Email inválido,2025-02-21
1112,1112,2,Localidad inexistente,2025-07-18
1113,1113,1,Email inválido,2026-02-18
1114,1114,3,DbUpdateException,2024-12-26
1115,1115,2,Email inválido,2025-01-11
1116,1116,2,Email inválido,2024-12-26
1117,1117,3,Validation failed,2024-06-04
1118,1118,3,DbUpdateException,2025-04-19
1119,1119,2,SMTP timeout,2024-11-13
1120,1120,2,Localidad inexistente,2024-06-18
1121,1121,2,SMTP timeout,2025-04-09
1122,1122,3,Email inválido,2025-08-27
1123,1123,3,SMTP timeout,2025-07-23
1124,1124,2,DbUpdateException,2024-05-04
1125,1125,3,SMTP timeout,2025-06-24
1126,1126,1,Validation failed,2024-03-09
1127,1127,3,SocialNetworkId inválido,2025-10-29
1128,1128,2,CSV export format not supported,2025-06-12
1129,1129,2,SMTP timeout,2024-12-01
1130,1130,2,Localidad inexistente,2025-06-15
1131,1131,3,SMTP timeout,2026-03-30
1132,1132,2,SocialNetworkId inválido,2026-05-27
1133,1133,2,Validation failed,2025-10-05
1134,1134,1,Localidad inexistente,2024-12-07
1135,1135,1,SocialNetworkId inválido,2024-09-20
1136,1136,1,CSV export format not supported,2025-02-18
1137,1137,2,Validation failed,2025-05-23
1138,1138,3,Email inválido,2024-05-30
1139,1139,3,DbUpdateException,2024-02-11
1140,1140,1,SMTP timeout,2024-10-04
1141,1141,2,CSV export format not supported,2026-05-07
1142,1142,3,Token expirado,2025-05-09
1143,1143,3,Localidad inexistente,2024-09-18
1144,1144,2,DbUpdateException,2026-01-24
1145,1145,3,Localidad inexistente,2025-01-09
1146,1146,3,DbUpdateException,2024-01-12
1147,1147,3,SMTP timeout,2026-02-18
1148,1148,2,Localidad inexistente,2024-08-02
1149,1149,3,CSV export format not supported,2024-10-12
1150,1150,3,Validation failed,2024-11-25
1151,1151,1,Token expirado,2025-09-06
1152,1152,2,Localidad inexistente,2025-09-11
1153,1153,2,SMTP timeout,2026-01-07
1154,1154,2,Email inválido,2025-12-17
1155,1155,1,Token expirado,2025-02-03
1156,1156,3,Validation failed,2025-02-12
1157,1157,3,Localidad inexistente,2024-01-19
1158,1158,3,SMTP timeout,2024-10-12
1159,1159,3,Email inválido,2025-02-03
1160,1160,1,SMTP timeout,2025-01-31
1161,1161,1,SocialNetworkId inválido,2025-01-07
1162,1162,3,Email inválido,2025-05-12
1163,1163,1,Validation failed,2026-04-12
1164,1164,2,Validation failed,2024-02-15
1165,1165,1,SMTP timeout,2026-05-30
1166,1166,1,Token expirado,2024-01-30
1167,1167,2,Email inválido,2025-04-16
1168,1168,2,SMTP timeout,2024-02-20
1169,1169,2,Localidad inexistente,2024-11-25
1170,1170,1,SocialNetworkId inválido,2024-10-19
1171,1171,2,Email inválido,2025-07-15
1172,1172,2,SMTP timeout,2024-06-09
1173,1173,2,Validation failed,2024-11-18
1174,1174,1,SMTP timeout,2025-03-09
1175,1175,3,Token expirado,2024-07-20
1176,1176,1,Validation failed,2024-01-05
1177,1177,2,Token expirado,2024-02-25
1178,1178,2,DbUpdateException,2024-08-02
1179,1179,1,CSV export format not supported,2026-02-02
1180,1180,3,Validation failed,2025-04-16
1181,1181,1,Validation failed,2026-01-05
1182,1182,3,CSV export format not supported,2026-06-21
1183,1183,3,CSV export format not supported,2025-12-04
1184,1184,3,SMTP timeout,2026-05-26
1185,1185,1,CSV export format not supported,2025-05-15
1186,1186,2,SMTP timeout,2026-05-31
1187,1187,3,Validation failed,2025-02-08
1188,1188,3,Email inválido,2025-04-29
1189,1189,1,DbUpdateException,2024-05-19
1190,1190,2,SMTP timeout,2026-02-18
1191,1191,2,CSV export format not supported,2024-03-13
1192,1192,1,Localidad inexistente,2024-10-02
1193,1193,1,Validation failed,2025-07-18
1194,1194,3,SMTP timeout,2024-06-07
1195,1195,2,Validation failed,2024-07-27
1196,1196,1,Localidad inexistente,2026-04-01
1197,1197,2,SMTP timeout,2024-11-16
1198,1198,2,SMTP timeout,2025-04-29
1199,1199,2,CSV export format not supported,2026-03-11
1200,1200,1,Email inválido,2025-03-16
1201,1201,3,Validation failed,2026-05-17
1202,1202,3,SocialNetworkId inválido,2024-11-18
1203,1203,3,DbUpdateException,2025-08-11
1204,1204,2,SMTP timeout,2024-11-17
1205,1205,3,Validation failed,2024-08-09
1206,1206,3,SocialNetworkId inválido,2026-01-05
1207,1207,3,CSV export format not supported,2024-09-14
1208,1208,3,CSV export format not supported,2024-07-16
1209,1209,2,SocialNetworkId inválido,2026-01-02
1210,1210,3,Localidad inexistente,2024-07-28
1211,1211,2,Email inválido,2025-02-01
1212,1212,2,Validation failed,2025-04-23
1213,1213,2,Email inválido,2025-03-30
1214,1214,1,SMTP timeout,2024-07-25
1215,1215,2,CSV export format not supported,2024-01-08
1216,1216,2,Token expirado,2025-05-26
1217,1217,1,Validation failed,2024-04-12
1218,1218,2,SMTP timeout,2025-01-30
1219,1219,2,SMTP timeout,2025-02-28
1220,1220,3,Localidad inexistente,2026-02-27
1221,1221,3,CSV export format not supported,2025-03-12
1222,1222,2,DbUpdateException,2024-01-21
1223,1223,1,Localidad inexistente,2025-10-20
1224,1224,2,Email inválido,2025-09-15
1225,1225,1,CSV export format not supported,2026-02-27
1226,1226,1,Validation failed,2024-06-05
1227,1227,2,CSV export format not supported,2024-02-13
1228,1228,1,Localidad inexistente,2025-10-17
1229,1229,1,DbUpdateException,2025-11-04
1230,1230,2,Token expirado,2024-08-26
1231,1231,1,SocialNetworkId inválido,2024-07-14
1232,1232,2,SocialNetworkId inválido,2024-10-19
1233,1233,3,Email inválido,2024-09-30
1234,1234,3,DbUpdateException,2025-09-12
1235,1235,1,Localidad inexistente,2025-10-24
1236,1236,1,CSV export format not supported,2025-09-29
1237,1237,1,SMTP timeout,2025-03-30
1238,1238,3,CSV export format not supported,2026-04-11
1239,1239,3,DbUpdateException,2024-05-30
1240,1240,2,Email inválido,2024-06-05
1241,1241,2,Localidad inexistente,2026-06-24
1242,1242,3,DbUpdateException,2026-01-01
1243,1243,3,CSV export format not supported,2024-09-22
1244,1244,3,CSV export format not supported,2025-06-21
1245,1245,2,DbUpdateException,2025-08-20
1246,1246,1,CSV export format not supported,2025-02-18
1247,1247,2,Email inválido,2024-01-18
1248,1248,3,SocialNetworkId inválido,2025-10-08
1249,1249,2,SocialNetworkId inválido,2025-10-24
1250,1250,3,Localidad inexistente,2026-04-27
1251,1251,2,Validation failed,2025-05-07
1252,1252,3,DbUpdateException,2025-12-24
1253,1253,2,Email inválido,2025-03-06
1254,1254,1,SMTP timeout,2026-03-30
1255,1255,3,CSV export format not supported,2025-10-09
1256,1256,3,DbUpdateException,2024-04-05
1257,1257,1,DbUpdateException,2025-06-05
1258,1258,1,Token expirado,2025-12-19
1259,1259,3,SocialNetworkId inválido,2025-03-30
1260,1260,1,Email inválido,2025-09-24
1261,1261,2,DbUpdateException,2025-06-08
1262,1262,2,SocialNetworkId inválido,2026-05-26
1263,1263,2,SocialNetworkId inválido,2024-08-11
1264,1264,3,CSV export format not supported,2025-12-24
1265,1265,3,SocialNetworkId inválido,2026-03-03
1266,1266,1,DbUpdateException,2024-06-16
1267,1267,3,Validation failed,2025-07-17
1268,1268,3,Validation failed,2024-10-25
1269,1269,2,CSV export format not supported,2025-10-09
1270,1270,2,SMTP timeout,2024-03-06
1271,1271,3,SocialNetworkId inválido,2025-07-19
1272,1272,2,DbUpdateException,2024-10-07
1273,1273,1,Validation failed,2024-01-27
1274,1274,2,Localidad inexistente,2024-01-30
1275,1275,2,Validation failed,2026-04-18
1276,1276,3,Validation failed,2025-09-06
1277,1277,2,SMTP timeout,2025-02-07
1278,1278,1,CSV export format not supported,2025-09-20
1279,1279,1,CSV export format not supported,2025-01-01
1280,1280,2,SMTP timeout,2026-04-13
1281,1281,2,Validation failed,2025-04-13
1282,1282,2,Validation failed,2025-07-16
1283,1283,3,Token expirado,2025-10-20
1284,1284,3,SocialNetworkId inválido,2025-12-02
1285,1285,3,Localidad inexistente,2026-05-28
1286,1286,3,DbUpdateException,2024-03-06
1287,1287,2,DbUpdateException,2024-07-03
1288,1288,2,Token expirado,2024-09-15
1289,1289,2,CSV export format not supported,2025-01-01
1290,1290,2,DbUpdateException,2026-06-14
1291,1291,1,Localidad inexistente,2024-04-07
1292,1292,2,SocialNetworkId inválido,2024-03-28
1293,1293,3,CSV export format not supported,2025-07-01
1294,1294,2,Validation failed,2024-02-16
1295,1295,2,SMTP timeout,2024-02-24
1296,1296,3,Email inválido,2026-01-08
1297,1297,1,Token expirado,2024-07-08
1298,1298,3,DbUpdateException,2024-05-21
