CompensationRequestId,UserId,SucursalId,CompensationRequestStateId,Observations,ErrorId,ErrorMessage,ErrorDetails,CreatedAt,ClosedAt,IsOpen
820,149,547,4,CreateLocalidadCommandHandler - incidente simulado 820,3,Validation failed,CreateLocalidadCommandHandler: Validation failed. RunId MOCK-4,2025-04-16,,1
821,39,719,2,UpdateSucursalCommandHandler - incidente simulado 821,3,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-5,2025-12-10,2025-12-23,0
822,91,589,4,EmailService.SendAsync - incidente simulado 822,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-6,2025-12-13,,1
823,84,229,2,UpdateSucursalCommandHandler - incidente simulado 823,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-7,2024-11-27,2024-12-17,0
824,35,594,2,CompensationRequestExportQueryHandler - incidente simulado 824,1,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-8,2025-03-21,2025-04-10,0
825,78,65,2,EmailService.SendAsync - incidente simulado 825,1,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-9,2024-10-01,2024-10-16,0
826,128,262,2,CompensationRequestExportQueryHandler - incidente simulado 826,2,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-10,2024-01-23,2024-02-10,0
827,131,199,3,VerifyEmailCommandHandler - incidente simulado 827,2,SocialNetworkId inválido,VerifyEmailCommandHandler: SocialNetworkId inválido. RunId MOCK-11,2025-09-24,2025-10-14,0
828,53,409,2,CompensationRequestExportQueryHandler - incidente simulado 828,2,Token expirado,CompensationRequestExportQueryHandler: Token expirado. RunId MOCK-12,2025-02-24,2025-03-15,0
829,81,11,2,VerifyEmailCommandHandler - incidente simulado 829,2,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-13,2024-10-26,2024-11-15,0
830,44,122,2,CreateSucursalCommandHandler - incidente simulado 830,2,Token expirado,CreateSucursalCommandHandler: Token expirado. RunId MOCK-14,2025-10-17,2025-10-19,0
831,142,617,4,EmailService.SendAsync - incidente simulado 831,1,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-15,2024-05-22,,1
832,134,107,2,VerifyEmailCommandHandler - incidente simulado 832,2,Token expirado,VerifyEmailCommandHandler: Token expirado. RunId MOCK-16,2026-05-10,2026-05-18,0
833,124,313,2,CreateSucursalCommandHandler - incidente simulado 833,2,Token expirado,CreateSucursalCommandHandler: Token expirado. RunId MOCK-0,2026-06-17,2026-07-05,0
834,107,243,2,BulkCreateSucursalesCommandHandler - incidente simulado 834,2,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-1,2025-09-01,2025-09-02,0
835,12,696,1,CreateSucursalCommandHandler - incidente simulado 835,1,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-2,2026-03-18,,1
836,5,367,2,CreateLocalidadCommandHandler - incidente simulado 836,2,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-3,2025-02-03,2025-02-16,0
837,111,460,2,CompensationRequestExportQueryHandler - incidente simulado 837,2,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-4,2025-07-25,2025-08-13,0
838,136,484,2,CreateSucursalCommandHandler - incidente simulado 838,3,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-5,2026-02-18,2026-02-24,0
839,96,705,1,CreateUserCommandHandler - incidente simulado 839,1,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-6,2026-04-02,,1
840,12,403,2,VerifyEmailCommandHandler - incidente simulado 840,2,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-7,2024-08-24,2024-09-09,0
841,43,309,4,EmailService.SendAsync - incidente simulado 841,2,Token expirado,EmailService.SendAsync: Token expirado. RunId MOCK-8,2024-12-17,,1
842,112,490,3,CreateLocalidadCommandHandler - incidente simulado 842,1,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-9,2024-05-25,2024-05-30,0
843,3,340,1,UpdateSucursalCommandHandler - incidente simulado 843,3,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-10,2026-02-25,,1
844,128,315,2,CreateSucursalCommandHandler - incidente simulado 844,2,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-11,2025-10-12,2025-10-28,0
845,112,335,2,CreateLocalidadCommandHandler - incidente simulado 845,3,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-12,2025-07-08,2025-07-14,0
846,126,84,4,CreateLocalidadCommandHandler - incidente simulado 846,2,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-13,2026-04-23,,1
847,1,759,2,UpdateSucursalCommandHandler - incidente simulado 847,1,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-14,2024-12-07,2024-12-15,0
848,61,798,2,BulkCreateSucursalesCommandHandler - incidente simulado 848,1,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-15,2025-11-05,2025-11-10,0
849,143,329,2,CreateUserCommandHandler - incidente simulado 849,2,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-16,2024-06-09,2024-06-20,0
850,81,104,2,CreateLocalidadCommandHandler - incidente simulado 850,2,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-0,2024-07-04,2024-07-17,0
851,15,345,2,CompensationRequestExportQueryHandler - incidente simulado 851,3,SocialNetworkId inválido,CompensationRequestExportQueryHandler: SocialNetworkId inválido. RunId MOCK-1,2024-12-01,2024-12-03,0
852,69,483,2,CompensationRequestExportQueryHandler - incidente simulado 852,2,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-2,2024-11-11,2024-11-19,0
853,29,473,2,CompensationRequestExportQueryHandler - incidente simulado 853,1,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-3,2024-08-07,2024-08-11,0
854,67,297,2,CompensationRequestExportQueryHandler - incidente simulado 854,3,Email inválido,CompensationRequestExportQueryHandler: Email inválido. RunId MOCK-4,2024-11-03,2024-11-23,0
855,50,128,2,CreateSucursalCommandHandler - incidente simulado 855,2,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-5,2024-12-07,2024-12-24,0
856,134,616,3,CreateUserCommandHandler - incidente simulado 856,1,Email inválido,CreateUserCommandHandler: Email inválido. RunId MOCK-6,2024-03-26,2024-04-01,0
857,91,179,2,UpdateSucursalCommandHandler - incidente simulado 857,2,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-7,2025-06-09,2025-06-25,0
858,17,321,2,UpdateSucursalCommandHandler - incidente simulado 858,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-8,2024-01-10,2024-01-16,0
859,58,495,2,CreateUserCommandHandler - incidente simulado 859,2,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-9,2025-12-09,2025-12-26,0
860,49,300,2,EmailService.SendAsync - incidente simulado 860,1,CSV export format not supported,EmailService.SendAsync: CSV export format not supported. RunId MOCK-10,2025-06-08,2025-06-17,0
861,102,603,2,EmailService.SendAsync - incidente simulado 861,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-11,2024-03-30,2024-04-02,0
862,111,269,3,VerifyEmailCommandHandler - incidente simulado 862,1,Validation failed,VerifyEmailCommandHandler: Validation failed. RunId MOCK-12,2024-08-02,2024-08-13,0
863,13,546,2,CreateSucursalCommandHandler - incidente simulado 863,3,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-13,2025-08-24,2025-09-13,0
864,42,98,2,CreateUserCommandHandler - incidente simulado 864,2,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-14,2024-08-21,2024-08-24,0
865,71,754,2,VerifyEmailCommandHandler - incidente simulado 865,2,Validation failed,VerifyEmailCommandHandler: Validation failed. RunId MOCK-15,2025-06-18,2025-07-05,0
866,113,175,4,CompensationRequestExportQueryHandler - incidente simulado 866,3,Token expirado,CompensationRequestExportQueryHandler: Token expirado. RunId MOCK-16,2026-02-08,,1
867,133,760,4,CreateLocalidadCommandHandler - incidente simulado 867,2,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-0,2026-03-04,,1
868,138,624,1,CompensationRequestExportQueryHandler - incidente simulado 868,1,CSV export format not supported,CompensationRequestExportQueryHandler: CSV export format not supported. RunId MOCK-1,2025-08-29,,1
869,119,15,2,CompensationRequestExportQueryHandler - incidente simulado 869,2,SocialNetworkId inválido,CompensationRequestExportQueryHandler: SocialNetworkId inválido. RunId MOCK-2,2024-05-20,2024-05-31,0
870,128,779,3,CreateUserCommandHandler - incidente simulado 870,3,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-3,2024-12-02,2024-12-08,0
871,136,515,1,CreateSucursalCommandHandler - incidente simulado 871,3,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-4,2024-04-17,,1
872,126,552,3,BulkCreateSucursalesCommandHandler - incidente simulado 872,1,Email inválido,BulkCreateSucursalesCommandHandler: Email inválido. RunId MOCK-5,2025-03-20,2025-03-23,0
873,114,480,1,UpdateSucursalCommandHandler - incidente simulado 873,3,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-6,2025-08-13,,1
874,57,383,1,EmailService.SendAsync - incidente simulado 874,3,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-7,2024-11-19,,1
875,4,788,2,CreateSucursalCommandHandler - incidente simulado 875,3,CSV export format not supported,CreateSucursalCommandHandler: CSV export format not supported. RunId MOCK-8,2026-04-28,2026-05-09,0
876,148,247,2,BulkCreateSucursalesCommandHandler - incidente simulado 876,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-9,2025-11-20,2025-12-09,0
877,35,662,4,CompensationRequestExportQueryHandler - incidente simulado 877,2,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-10,2024-09-11,,1
878,137,104,2,CreateSucursalCommandHandler - incidente simulado 878,2,Token expirado,CreateSucursalCommandHandler: Token expirado. RunId MOCK-11,2024-05-04,2024-05-21,0
879,119,212,2,VerifyEmailCommandHandler - incidente simulado 879,3,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-12,2024-10-17,2024-10-30,0
880,103,144,3,CreateUserCommandHandler - incidente simulado 880,2,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-13,2025-12-14,2025-12-29,0
881,54,362,2,EmailService.SendAsync - incidente simulado 881,3,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-14,2025-12-07,2025-12-15,0
882,94,649,2,EmailService.SendAsync - incidente simulado 882,2,SocialNetworkId inválido,EmailService.SendAsync: SocialNetworkId inválido. RunId MOCK-15,2024-01-08,2024-01-18,0
883,62,599,1,EmailService.SendAsync - incidente simulado 883,2,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-16,2024-09-09,,1
884,98,298,2,BulkCreateSucursalesCommandHandler - incidente simulado 884,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-0,2024-07-09,2024-07-17,0
885,125,187,1,CreateUserCommandHandler - incidente simulado 885,1,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-1,2025-09-20,,1
886,2,352,1,EmailService.SendAsync - incidente simulado 886,2,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-2,2026-05-25,,1
887,18,722,2,VerifyEmailCommandHandler - incidente simulado 887,2,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-3,2024-06-30,2024-07-14,0
888,86,549,2,CreateLocalidadCommandHandler - incidente simulado 888,3,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-4,2024-04-17,2024-04-27,0
889,49,686,1,BulkCreateSucursalesCommandHandler - incidente simulado 889,2,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-5,2024-09-28,,1
890,108,214,4,UpdateSucursalCommandHandler - incidente simulado 890,1,CSV export format not supported,UpdateSucursalCommandHandler: CSV export format not supported. RunId MOCK-6,2025-05-17,,1
891,117,119,2,VerifyEmailCommandHandler - incidente simulado 891,1,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-7,2026-05-27,2026-06-13,0
892,108,508,3,EmailService.SendAsync - incidente simulado 892,3,Localidad inexistente,EmailService.SendAsync: Localidad inexistente. RunId MOCK-8,2024-11-20,2024-12-03,0
893,45,518,4,CreateSucursalCommandHandler - incidente simulado 893,3,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-9,2026-02-13,,1
894,29,724,2,CreateLocalidadCommandHandler - incidente simulado 894,2,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-10,2025-06-05,2025-06-13,0
895,117,273,4,CompensationRequestExportQueryHandler - incidente simulado 895,1,SocialNetworkId inválido,CompensationRequestExportQueryHandler: SocialNetworkId inválido. RunId MOCK-11,2026-02-05,,1
896,99,278,4,BulkCreateSucursalesCommandHandler - incidente simulado 896,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-12,2025-10-19,,1
897,53,562,4,BulkCreateSucursalesCommandHandler - incidente simulado 897,2,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-13,2024-11-08,,1
898,55,415,2,CreateUserCommandHandler - incidente simulado 898,3,Email inválido,CreateUserCommandHandler: Email inválido. RunId MOCK-14,2025-10-29,2025-11-08,0
899,29,358,3,CreateSucursalCommandHandler - incidente simulado 899,1,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-15,2024-01-15,2024-01-22,0
900,43,41,2,CreateLocalidadCommandHandler - incidente simulado 900,2,DbUpdateException,CreateLocalidadCommandHandler: DbUpdateException. RunId MOCK-16,2024-07-09,2024-07-18,0
901,92,462,1,BulkCreateSucursalesCommandHandler - incidente simulado 901,3,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-0,2026-05-17,,1
902,127,707,2,CreateSucursalCommandHandler - incidente simulado 902,2,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-1,2024-01-08,2024-01-27,0
903,16,637,2,CreateUserCommandHandler - incidente simulado 903,2,SocialNetworkId inválido,CreateUserCommandHandler: SocialNetworkId inválido. RunId MOCK-2,2025-08-01,2025-08-17,0
904,8,602,4,VerifyEmailCommandHandler - incidente simulado 904,1,CSV export format not supported,VerifyEmailCommandHandler: CSV export format not supported. RunId MOCK-3,2025-10-11,,1
905,47,182,1,EmailService.SendAsync - incidente simulado 905,2,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-4,2026-02-01,,1
906,4,272,3,UpdateSucursalCommandHandler - incidente simulado 906,3,DbUpdateException,UpdateSucursalCommandHandler: DbUpdateException. RunId MOCK-5,2025-05-22,2025-05-29,0
907,50,313,1,CreateSucursalCommandHandler - incidente simulado 907,3,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-6,2024-04-12,,1
908,4,153,1,CreateSucursalCommandHandler - incidente simulado 908,2,CSV export format not supported,CreateSucursalCommandHandler: CSV export format not supported. RunId MOCK-7,2025-03-17,,1
909,9,609,2,UpdateSucursalCommandHandler - incidente simulado 909,1,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-8,2025-12-12,2025-12-23,0
910,105,557,1,CreateLocalidadCommandHandler - incidente simulado 910,1,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-9,2026-04-01,,1
911,25,507,2,CreateSucursalCommandHandler - incidente simulado 911,3,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-10,2024-12-13,2024-12-21,0
912,119,92,2,CompensationRequestExportQueryHandler - incidente simulado 912,1,Email inválido,CompensationRequestExportQueryHandler: Email inválido. RunId MOCK-11,2026-03-28,2026-04-04,0
913,145,43,1,CreateUserCommandHandler - incidente simulado 913,1,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-12,2025-04-07,,1
914,65,324,2,BulkCreateSucursalesCommandHandler - incidente simulado 914,1,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-13,2025-11-01,2025-11-10,0
915,122,7,4,UpdateSucursalCommandHandler - incidente simulado 915,1,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-14,2024-04-24,,1
916,78,301,2,UpdateSucursalCommandHandler - incidente simulado 916,1,Email inválido,UpdateSucursalCommandHandler: Email inválido. RunId MOCK-15,2024-11-09,2024-11-14,0
917,47,220,1,UpdateSucursalCommandHandler - incidente simulado 917,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-16,2024-05-27,,1
918,79,760,1,CreateSucursalCommandHandler - incidente simulado 918,3,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-0,2024-03-25,,1
919,47,431,2,CreateSucursalCommandHandler - incidente simulado 919,1,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-1,2026-05-12,2026-05-24,0
920,77,738,4,BulkCreateSucursalesCommandHandler - incidente simulado 920,2,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-2,2024-08-18,,1
921,29,392,2,CreateLocalidadCommandHandler - incidente simulado 921,2,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-3,2024-05-17,2024-05-19,0
922,111,554,2,BulkCreateSucursalesCommandHandler - incidente simulado 922,1,SMTP timeout,BulkCreateSucursalesCommandHandler: SMTP timeout. RunId MOCK-4,2024-04-18,2024-05-01,0
923,143,439,3,VerifyEmailCommandHandler - incidente simulado 923,3,CSV export format not supported,VerifyEmailCommandHandler: CSV export format not supported. RunId MOCK-5,2025-09-13,2025-09-30,0
924,80,468,2,CreateSucursalCommandHandler - incidente simulado 924,3,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-6,2024-08-07,2024-08-16,0
925,147,34,1,BulkCreateSucursalesCommandHandler - incidente simulado 925,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-7,2026-02-06,,1
926,12,52,3,EmailService.SendAsync - incidente simulado 926,1,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-8,2025-09-26,2025-10-09,0
927,59,286,4,CreateUserCommandHandler - incidente simulado 927,3,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-9,2025-09-14,,1
928,31,230,2,CreateSucursalCommandHandler - incidente simulado 928,3,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-10,2025-03-23,2025-04-11,0
929,17,171,2,CreateSucursalCommandHandler - incidente simulado 929,1,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-11,2024-10-07,2024-10-14,0
930,54,780,1,CreateLocalidadCommandHandler - incidente simulado 930,1,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-12,2026-01-30,,1
931,75,762,1,EmailService.SendAsync - incidente simulado 931,2,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-13,2024-03-03,,1
932,32,259,2,CreateSucursalCommandHandler - incidente simulado 932,3,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-14,2024-09-02,2024-09-06,0
933,146,772,1,BulkCreateSucursalesCommandHandler - incidente simulado 933,3,Validation failed,BulkCreateSucursalesCommandHandler: Validation failed. RunId MOCK-15,2024-01-03,,1
934,12,398,1,CompensationRequestExportQueryHandler - incidente simulado 934,2,CSV export format not supported,CompensationRequestExportQueryHandler: CSV export format not supported. RunId MOCK-16,2024-08-28,,1
935,123,265,3,BulkCreateSucursalesCommandHandler - incidente simulado 935,2,Validation failed,BulkCreateSucursalesCommandHandler: Validation failed. RunId MOCK-0,2026-03-25,2026-04-07,0
936,64,445,1,VerifyEmailCommandHandler - incidente simulado 936,2,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-1,2024-02-21,,1
937,134,88,4,BulkCreateSucursalesCommandHandler - incidente simulado 937,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-2,2026-01-10,,1
938,129,145,2,VerifyEmailCommandHandler - incidente simulado 938,3,Token expirado,VerifyEmailCommandHandler: Token expirado. RunId MOCK-3,2025-11-09,2025-11-28,0
939,93,209,2,CreateSucursalCommandHandler - incidente simulado 939,2,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-4,2024-01-19,2024-01-30,0
940,73,596,2,EmailService.SendAsync - incidente simulado 940,2,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-5,2025-02-26,2025-03-07,0
941,69,660,1,CreateSucursalCommandHandler - incidente simulado 941,1,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-6,2025-03-28,,1
942,36,669,2,BulkCreateSucursalesCommandHandler - incidente simulado 942,2,SMTP timeout,BulkCreateSucursalesCommandHandler: SMTP timeout. RunId MOCK-7,2024-05-22,2024-05-30,0
943,9,544,1,EmailService.SendAsync - incidente simulado 943,1,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-8,2026-02-24,,1
944,120,233,1,CreateLocalidadCommandHandler - incidente simulado 944,2,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-9,2026-06-27,,1
945,117,18,2,CreateUserCommandHandler - incidente simulado 945,1,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-10,2024-07-16,2024-07-17,0
946,28,563,2,UpdateSucursalCommandHandler - incidente simulado 946,3,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-11,2024-06-12,2024-06-16,0
947,145,19,1,CreateLocalidadCommandHandler - incidente simulado 947,3,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-12,2025-10-05,,1
948,119,617,4,CreateSucursalCommandHandler - incidente simulado 948,1,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-13,2026-06-06,,1
949,33,576,2,CreateSucursalCommandHandler - incidente simulado 949,2,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-14,2024-02-26,2024-03-05,0
950,33,582,1,UpdateSucursalCommandHandler - incidente simulado 950,3,Email inválido,UpdateSucursalCommandHandler: Email inválido. RunId MOCK-15,2024-03-29,,1
951,3,510,1,VerifyEmailCommandHandler - incidente simulado 951,1,Token expirado,VerifyEmailCommandHandler: Token expirado. RunId MOCK-16,2024-12-25,,1
952,98,743,1,VerifyEmailCommandHandler - incidente simulado 952,3,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-0,2026-02-08,,1
953,57,650,1,CompensationRequestExportQueryHandler - incidente simulado 953,1,Validation failed,CompensationRequestExportQueryHandler: Validation failed. RunId MOCK-1,2025-11-01,,1
954,61,8,4,BulkCreateSucursalesCommandHandler - incidente simulado 954,1,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-2,2026-04-25,,1
955,126,153,3,CreateUserCommandHandler - incidente simulado 955,3,DbUpdateException,CreateUserCommandHandler: DbUpdateException. RunId MOCK-3,2026-01-06,2026-01-15,0
956,42,326,4,EmailService.SendAsync - incidente simulado 956,1,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-4,2025-07-25,,1
957,116,4,1,UpdateSucursalCommandHandler - incidente simulado 957,2,Validation failed,UpdateSucursalCommandHandler: Validation failed. RunId MOCK-5,2025-11-26,,1
958,40,134,2,CreateLocalidadCommandHandler - incidente simulado 958,2,Validation failed,CreateLocalidadCommandHandler: Validation failed. RunId MOCK-6,2025-03-04,2025-03-13,0
959,76,485,2,CompensationRequestExportQueryHandler - incidente simulado 959,3,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-7,2026-06-19,2026-07-04,0
960,10,423,2,CreateLocalidadCommandHandler - incidente simulado 960,3,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-8,2024-06-12,2024-06-16,0
961,61,321,2,UpdateSucursalCommandHandler - incidente simulado 961,2,SMTP timeout,UpdateSucursalCommandHandler: SMTP timeout. RunId MOCK-9,2025-08-02,2025-08-11,0
962,29,155,2,EmailService.SendAsync - incidente simulado 962,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-10,2024-02-24,2024-02-27,0
963,92,263,2,CreateLocalidadCommandHandler - incidente simulado 963,2,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-11,2025-10-14,2025-11-02,0
964,32,104,2,VerifyEmailCommandHandler - incidente simulado 964,2,SocialNetworkId inválido,VerifyEmailCommandHandler: SocialNetworkId inválido. RunId MOCK-12,2025-02-13,2025-03-05,0
965,64,3,2,UpdateSucursalCommandHandler - incidente simulado 965,1,CSV export format not supported,UpdateSucursalCommandHandler: CSV export format not supported. RunId MOCK-13,2024-07-19,2024-08-02,0
966,17,541,2,VerifyEmailCommandHandler - incidente simulado 966,2,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-14,2024-08-18,2024-09-04,0
967,67,793,1,EmailService.SendAsync - incidente simulado 967,1,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-15,2026-03-31,,1
968,24,165,1,CreateSucursalCommandHandler - incidente simulado 968,1,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-16,2026-05-17,,1
969,8,122,2,UpdateSucursalCommandHandler - incidente simulado 969,2,Email inválido,UpdateSucursalCommandHandler: Email inválido. RunId MOCK-0,2024-07-19,2024-08-01,0
970,128,146,2,CreateSucursalCommandHandler - incidente simulado 970,2,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-1,2025-09-17,2025-09-21,0
971,115,564,2,CreateUserCommandHandler - incidente simulado 971,1,SocialNetworkId inválido,CreateUserCommandHandler: SocialNetworkId inválido. RunId MOCK-2,2024-02-29,2024-03-19,0
972,77,487,3,CreateSucursalCommandHandler - incidente simulado 972,1,Email inválido,CreateSucursalCommandHandler: Email inválido. RunId MOCK-3,2024-04-01,2024-04-05,0
973,12,800,2,CompensationRequestExportQueryHandler - incidente simulado 973,3,Validation failed,CompensationRequestExportQueryHandler: Validation failed. RunId MOCK-4,2026-02-07,2026-02-11,0
974,26,596,4,CreateSucursalCommandHandler - incidente simulado 974,2,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-5,2026-02-17,,1
975,31,79,2,CreateLocalidadCommandHandler - incidente simulado 975,2,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-6,2025-10-13,2025-10-20,0
976,121,171,2,BulkCreateSucursalesCommandHandler - incidente simulado 976,1,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-7,2024-08-16,2024-09-03,0
977,59,480,1,CompensationRequestExportQueryHandler - incidente simulado 977,1,Localidad inexistente,CompensationRequestExportQueryHandler: Localidad inexistente. RunId MOCK-8,2026-02-01,,1
978,40,133,2,BulkCreateSucursalesCommandHandler - incidente simulado 978,2,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-9,2024-04-18,2024-04-25,0
